title,Unnamed: 0_x,id,authors,year,fos,venue,diversity,venue_rank,venue_MPI,venue_TPI,productivity,H_index,author_rank,author_MPI,author_TPI,versatility,n_citation_y,citation,citation_1yr,citation_2yr,citation_3yr,citation_4yr,citation_5yr,citation_7yr,citation_10yr,rf_predict_1yr,rf_predict_2yr,rf_predict_3yr,rf_predict_4yr,rf_predict_5yr,rf_predict_7yr,rf_predict_10yr,total_mae
Small Molecule Immunosensing Using Surface Plasmon Resonance,123154,2083322644,"[{'name': 'John Mitchell', 'org': 'Plant & Food Research', 'id': 2129522313}]",2010,"[{'name': 'Matrix (chemical analysis)', 'w': 0.42291}, {'name': 'Nanotechnology', 'w': 0.40908}, {'name': 'Surface plasmon resonance', 'w': 0.55871}, {'name': 'Analytical chemistry', 'w': 0.35273}, {'name': 'Molecule', 'w': 0.42939}, {'name': 'Noble metal', 'w': 0.4062}, {'name': 'Small molecule', 'w': 0.52101}, {'name': 'Steric effects', 'w': 0.41429}, {'name': 'Chemistry', 'w': 0.35027}, {'name': 'Immunoassay', 'w': 0.48312}, {'name': 'Biosensor', 'w': 0.51154}]","{'raw': 'Sensors', 'id': 101949793, 'type': 'J'}",3.917937521668021,4996.0,236.0,10313.0,1.0,1.0,652655.5,5.0,5.0,3.917937521668022,96,5.0,0,0,1,2,2,5,5,0.5890625,0.9359375,1.3454613095238102,2.263020833333333,1.8790922619047623,3.2273809523809525,4.219122023809525,4.8078869047619035
On two distributions of subgroups of free groups,68401,2004389604,"[{'name': 'Frédérique Bassino', 'org': 'Universite´ Paris, Villetaneuse, France', 'id': 28951904}, {'name': 'Armando Martino', 'org': 'University of Southampton, United Kingdom', 'id': 2150774651}, {'name': 'Cyril Nicaud', 'org': 'Université Paris-Est Marne la Vallée, France#TAB#', 'id': 2950237073}, {'name': 'Enric Ventura', 'org': 'Universitat Politecnica de Catalunya, Manresa, Catalunya, Spain#TAB#', 'id': 2108701366}, {'name': 'Pascal Weil', 'org': 'Universite de Bordeaux Talence FRANCE', 'id': 2100637896}]",2010,"[{'name': 'Analytic combinatorics', 'w': 0.56155}, {'name': 'Discrete mathematics', 'w': 0.4624}, {'name': 'Finitely-generated abelian group', 'w': 0.0}, {'name': 'Tuple', 'w': 0.51525}, {'name': 'Spite', 'w': 0.40679}, {'name': 'Mathematics', 'w': 0.42226}]","{'raw': 'Analytic Algorithmics and Combinatorics', 'id': 2757438667, 'type': 'C'}",1.752304766574588,8108.0,39.0,204.0,13.6,4.2,797775.1,49.6,103.4,8.934724823104293,0,0.0,0,0,0,0,0,0,0,0.259375,0.2552083333333333,0.7585565476190476,0.5749255952380953,1.2015625,0.8537202380952381,0.9046875,4.808035714285714
Property Testing via Set-Theoretic Operations.,196346,2570378835,"[{'name': 'Victor Chen', 'id': 2810384956}, {'name': 'Madhu Sudan', 'id': 466258520}, {'name': 'Ning Xie', 'id': 2164204201}]",2010,"[{'name': 'Discrete mathematics', 'w': 0.43803}, {'name': 'Combinatorics', 'w': 0.42201}, {'name': 'Property testing', 'w': 0.57157}, {'name': 'Mathematics', 'w': 0.42002}]","{'raw': 'Electronic Colloquium on Computational Complexity', 'id': 11189987, 'type': 'J'}",1.4097245449110427,9366.0,322.0,5598.0,59.66666666666666,19.0,572368.1666666665,285.6666666666667,3466.0,8.879626706827445,0,0.0,0,0,0,0,0,0,0,0.5239583333333333,0.5691964285714286,0.5557291666666666,0.4848958333333333,0.8020833333333334,1.1003720238095243,0.771875,4.808110119047619
A self-adaptive genetic algorithm-artificial neural network algorithm with leave-one-out cross validation for descriptor selection in QSAR study,81541,2023178139,"[{'name': 'Jingheng Wu', 'org': ""School of Chemistry and Chemical Engineering of Sun Yat‐sen University, Guanzhou 510275, People's Republic of China"", 'id': 2701277268}, {'name': 'Juan Mei', 'org': ""School of Chemistry and Chemical Engineering of Sun Yat‐sen University, Guanzhou 510275, People's Republic of China"", 'id': 2665096029}, {'name': 'Sixiang Wen', 'org': ""School of Chemistry and Chemical Engineering of Sun Yat‐sen University, Guanzhou 510275, People's Republic of China"", 'id': 2143627478}, {'name': 'Siyan Liao', 'org': ""School of Chemistry and Chemical Engineering of Sun Yat‐sen University, Guanzhou 510275, People's Republic of China"", 'id': 2201002848}, {'name': 'Jincan Chen', 'org': ""School of Chemistry and Chemical Engineering of Sun Yat‐sen University, Guanzhou 510275, People's Republic of China"", 'id': 2233105905}, {'name': 'Yong Shen', 'org': ""School of Chemistry and Chemical Engineering of Sun Yat‐sen University, Guanzhou 510275, People's Republic of China"", 'id': 2257630449}]",2010,"[{'name': 'Quantitative structure–activity relationship', 'w': 0.50928}, {'name': 'Algorithm', 'w': 0.41776}, {'name': 'Chemistry', 'w': 0.26243}, {'name': 'Self adaptive', 'w': 0.0}, {'name': 'Root-mean-square deviation', 'w': 0.46465}, {'name': 'Artificial neural network', 'w': 0.49418}, {'name': 'Cross-validation', 'w': 0.56069}, {'name': 'Genetic algorithm', 'w': 0.46568}, {'name': 'Linear regression', 'w': 0.48704}]","{'raw': 'Journal of Computational Chemistry', 'id': 21117631, 'type': 'J'}",2.794506803515314,5445.0,857.0,24141.0,1.0,1.0,1012284.5,2.0,2.0,2.794506803515314,38,2.0,0,0,2,2,2,2,2,0.3623511904761905,0.6735863095238096,0.7763392857142856,1.146875,1.109375,1.6432291666666663,1.551987489911219,4.808131557707829
Tensor based simultaneous feature extraction and sample weighting for EEG classification,13657,1485954976,"[{'name': 'Yoshikazu Washizawa', 'org': 'RIKEN Brain Science Institute, , Japan', 'id': 226613555}, {'name': 'Hiroshi Higashi', 'org': 'Department of Electrical and Electronic Engineering, Tokyo University of Agriculture and Technology, Japan and RIKEN Brain Science Institute, Japan#TAB#', 'id': 2789774051}, {'name': 'Tomasz Rutkowski', 'org': 'RIKEN Brain Science Institute, , Japan', 'id': 2163795103}, {'name': 'Toshihisa Tanaka', 'org': 'Department of Electrical and Electronic Engineering, Tokyo University of Agriculture and Technology, Japan and RIKEN Brain Science Institute, Japan#TAB#', 'id': 2141372996}, {'name': 'Andrzej Cichocki', 'org': 'RIKEN Brain Science Institute, , Japan', 'id': 2081156236}]",2010,"[{'name': 'Data mining', 'w': 0.44282}, {'name': 'Weighting', 'w': 0.52017}, {'name': 'Tensor', 'w': 0.49532}, {'name': 'Computer science', 'w': 0.39858}, {'name': 'Brain–computer interface', 'w': 0.45979}, {'name': 'Artificial intelligence', 'w': 0.0}, {'name': 'Electroencephalography', 'w': 0.44267}, {'name': 'Pattern recognition', 'w': 0.47088}, {'name': 'Eeg classification', 'w': 0.0}, {'name': 'Feature extraction', 'w': 0.5906}, {'name': 'Principal component analysis', 'w': 0.53533}, {'name': 'Machine learning', 'w': 0.43561}, {'name': 'Tensor decomposition', 'w': 0.0}]","{'raw': 'International Conference on Neural Information Processing', 'id': 1183580825, 'type': 'C'}",3.4954881633414243,11386.0,108.0,4904.0,75.2,12.8,533197.3,207.2,1213.8,13.855805637310633,7,3.0,0,0,0,1,1,1,3,0.15520833333333334,0.715625,0.7933779761904761,0.5086805555555556,0.8218749999999999,1.9822916666666668,1.5078125,4.80813492063492
Inferences on the common mean of several inverse Gaussian populations,50374,1978693144,"[{'name': 'Ren-Dao Ye', 'org': 'College of Business, Hangzhou Dianzi University, Zhejiang 310018, China#TAB#', 'id': 2657286397}, {'name': 'Tie-Feng Ma', 'org': 'Statistics College, Southwestern University of Finance and Economics, Sichuan 610074, China#TAB#', 'id': 2672117482}, {'name': 'Song-Gui Wang', 'org': 'College of Applied Sciences, Beijing University of Technology, Beijing 100124, China#TAB#', 'id': 2157183109}]",2010,"[{'name': 'Econometrics', 'w': 0.42449}, {'name': 'Interval estimation', 'w': 0.58555}, {'name': 'Mean estimation', 'w': 0.0}, {'name': 'Inverse Gaussian distribution', 'w': 0.56933}, {'name': 'Inference', 'w': 0.51109}, {'name': 'Scalar (physics)', 'w': 0.47565}, {'name': 'Multivariate analysis', 'w': 0.44412}, {'name': 'Statistics', 'w': 0.44244}, {'name': 'Statistical hypothesis testing', 'w': 0.55999}, {'name': 'Mathematics', 'w': 0.42178}]","{'raw': 'Computational Statistics & Data Analysis', 'id': 132362803, 'type': 'J'}",3.104387587824939,5620.0,558.0,17453.0,2.0,1.3333333333333333,830638.1666666665,5.0,6.0,5.751327437871248,22,5.0,1,2,2,2,2,3,5,0.7239583333333334,1.05,0.7739583333333332,1.5359375000000002,1.795014880952381,2.4674851190476192,3.845386904761905,4.808258928571427
Modeling of a non-Newtonian flow between parallel plates in a flip chip encapsulation,55834,1986550599,"[{'name': 'Wen-Bin Young', 'org': 'Department of Aeronautics and Astronautics, National Cheng-Kung University, Tainan, Taiwan 70101, ROC', 'id': 2618986946}]",2010,"[{'name': 'Shear thinning', 'w': 0.58497}, {'name': 'Flip chip', 'w': 0.45454}, {'name': 'Composite material', 'w': 0.44626}, {'name': 'Engineering drawing', 'w': 0.31075}, {'name': 'Shear rate', 'w': 0.61552}, {'name': 'Flow (psychology)', 'w': 0.44866}, {'name': 'Electronic packaging', 'w': 0.47678}, {'name': 'Electronic engineering', 'w': 0.34113}, {'name': 'Viscosity', 'w': 0.59549}, {'name': 'Engineering', 'w': 0.24927}, {'name': 'Epoxy', 'w': 0.4776}, {'name': 'Non-Newtonian fluid', 'w': 0.61322}]","{'raw': 'Microelectronics Reliability', 'id': 133646729, 'type': 'J'}",4.08144031115902,10859.0,224.0,7557.0,3.0,2.0,935518.5,4.0,7.0,6.083876759584568,15,1.0,0,0,0,1,1,1,1,0.15624999999999994,0.6197916666666667,0.6057291666666667,1.4598958333333334,1.5154761904761902,1.8239583333333331,2.6271577380952387,4.808258928571429
Correlation between Object-Oriented Metrics and Refactoring,12582,1471481038,"[{'name': 'Daniela Boshnakoska', 'org': 'Innovaworks', 'id': 2719237027}, {'name': 'Anastas Mišev', 'org': 'University Sts Cyril and Methodius', 'id': 30176774}]",2010,"[{'name': 'Data mining', 'w': 0.45561}, {'name': 'Object-oriented programming', 'w': 0.50013}, {'name': 'Computer science', 'w': 0.4558}, {'name': 'Systems design', 'w': 0.47381}, {'name': 'Redundant code', 'w': 0.60951}, {'name': 'Correlation', 'w': 0.37319}, {'name': 'Software quality', 'w': 0.54757}, {'name': 'Code refactoring', 'w': 0.74136}]",{'raw': 'International Conference on ICT Innovations'},2.6379892897971424,13753.0,9.0,96.0,4.5,1.5,867555.5,5.0,10.0,6.095251821754178,5,5.0,0,2,2,2,2,2,5,0.1171875,0.7695684523809524,1.1570684523809522,2.0878472222222224,2.563616071428572,2.7869047619047618,3.8206597222222216,4.80825892857143
Maximizing growth codes utility in large-scale wireless sensor networks,29185,1584958264,"[{'name': 'Yao Zhao', 'org': 'School of Computer Science, Fudan University, China and Shanghai Key Lab of Intelligent Information Processing, Shanghai, China#TAB#', 'id': 2585551816}, {'name': 'Xin Wang', 'org': 'School of Computer Science, Fudan University, China and Shanghai Key Lab of Intelligent Information Processing, Shanghai, China#TAB#', 'id': 2787006400}, {'name': 'Jin Zhao', 'org': 'School of Computer Science, Fudan University, China and Shanghai Key Lab of Intelligent Information Processing, Shanghai, China#TAB#', 'id': 2222538976}, {'name': 'Xiangyang Xue', 'org': 'School of Computer Science, Fudan University, China and Shanghai Key Lab of Intelligent Information Processing, Shanghai, China#TAB#', 'id': 2145662684}]",2010,"[{'name': 'Sensor node', 'w': 0.55729}, {'name': 'Broadcasting', 'w': 0.4866}, {'name': 'Key distribution in wireless sensor networks', 'w': 0.58626}, {'name': 'Computer science', 'w': 0.45144}, {'name': 'Network packet', 'w': 0.50793}, {'name': 'Computer network', 'w': 0.46}, {'name': 'Network topology', 'w': 0.52199}, {'name': 'Mobile wireless sensor network', 'w': 0.57224}, {'name': 'Wireless sensor network', 'w': 0.57348}, {'name': 'Decimal', 'w': 0.45415}, {'name': 'Distributed computing', 'w': 0.45976}]","{'raw': 'European Conference on Parallel Processing', 'id': 1163264588, 'type': 'C'}",3.7430849239995223,6692.0,170.0,13632.0,38.5,8.0,577101.125,77.75,374.5,13.117470055302846,2,2.0,1,1,1,1,1,1,2,0.6125,1.2401041666666668,1.6692708333333337,2.13125,1.9177083333333336,2.3296875000000004,2.1328125,4.808333333333335
Enhancement of Image Resolution by Binarization,219851,2161921480,"[{'name': 'Aroop Mukherjee', 'id': 2152439666}, {'name': 'Soumen Kanrar', 'org': 'Vehere Interactive, Calcutta - India', 'id': 2681300406}]",2010,"[{'name': 'Computer vision', 'w': 0.45833}, {'name': 'Pattern recognition', 'w': 0.46321}, {'name': 'Computer science', 'w': 0.40803}, {'name': 'Image processing', 'w': 0.57342}, {'name': 'Image segmentation', 'w': 0.58498}, {'name': 'Pixel', 'w': 0.50616}, {'name': 'Artificial intelligence', 'w': 0.0}, {'name': 'Thresholding', 'w': 0.55978}, {'name': 'Digital image processing', 'w': 0.56584}, {'name': 'Image resolution', 'w': 0.53159}, {'name': 'Standard test image', 'w': 0.58962}, {'name': 'Grayscale', 'w': 0.51665}]","{'raw': 'International Journal of Computer Applications', 'id': 150996103, 'type': 'J'}",3.692591386477217,11258.5,14.0,46.0,2.0,1.0,1231295.5,2.0,2.0,7.432588735508838,18,2.0,0,1,1,1,1,1,2,0.109375,0.18377976190476192,0.2395833333333333,0.3822916666666667,0.3924851190476191,0.4205729166666666,0.6822916666666666,4.808370535714285
